"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 2, 20, 166
"c:\Users\mohit\Desktop\I\unicore_g\app\student\activate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 8, 23, 248
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\CSVUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 2, 17, 240
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\InviteUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 1, 16, 128
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\modules\ModuleManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 2, 12, 134
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\AcceptInviteForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 22, 253
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\LogoutButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\StudentLoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 9, 24, 314
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\CTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 2, 7, 51
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 2, 4, 114
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 3, 7, 105
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 11, 12, 152
