Date : 2026-03-27 22:49:51
Directory : c:\Users\mohit\Desktop\I\unicore_g
Total : 164 files,  130203 codes, 11328 comments, 6626 blanks, all 148157 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| app\[tenant]\admin\exams                                                                         |          2 |        279 |          1 |         20 |        300 |
| app\[tenant]\admin\faculty                                                                       |          2 |        404 |          5 |         29 |        438 |
| app\[tenant]\admin\settings                                                                      |          2 |        169 |          1 |         24 |        194 |
| app\[tenant]\admin\students                                                                      |          2 |        463 |         14 |         33 |        510 |
| app\[tenant]\admin\subjects                                                                      |          2 |        625 |         16 |         39 |        680 |
| app\[tenant]\faculty                                                                             |          6 |        741 |         12 |         76 |        829 |
| app\[tenant]\faculty (Files)                                                                     |          1 |         68 |          5 |          9 |         82 |
| app\[tenant]\faculty\attendance                                                                  |          2 |        346 |          4 |         28 |        378 |
| app\[tenant]\faculty\dashboard                                                                   |          1 |        110 |          2 |         16 |        128 |
| app\[tenant]\faculty\profile                                                                     |          1 |        117 |          0 |         11 |        128 |
| app\[tenant]\faculty\subjects                                                                    |          1 |        100 |          1 |         12 |        113 |
| app\[tenant]\login                                                                               |          1 |         21 |         11 |          6 |         38 |
| app\[tenant]\setup-password                                                                      |          1 |        198 |          0 |         21 |        219 |
| app\[tenant]\student                                                                             |         10 |      1,042 |         26 |        109 |      1,177 |
| app\[tenant]\student (Files)                                                                     |          2 |         73 |          3 |         12 |         88 |
| app\[tenant]\student\activate                                                                    |          1 |         15 |          1 |          4 |         20 |
| app\[tenant]\student\attendance                                                                  |          1 |         96 |          4 |         15 |        115 |
| app\[tenant]\student\dashboard                                                                   |          1 |        288 |         12 |         25 |        325 |
| app\[tenant]\student\fees                                                                        |          1 |         36 |          0 |          7 |         43 |
| app\[tenant]\student\notices                                                                     |          1 |         83 |          1 |         10 |         94 |
| app\[tenant]\student\profile                                                                     |          1 |        146 |          3 |         12 |        161 |
| app\[tenant]\student\subjects                                                                    |          1 |        198 |          0 |         15 |        213 |
| app\[tenant]\student\timetable                                                                   |          1 |        107 |          2 |          9 |        118 |
| app\api                                                                                          |         28 |      1,627 |        115 |        308 |      2,050 |
| app\api\academic-periods                                                                         |          2 |         60 |          3 |         13 |         76 |
| app\api\academic-periods (Files)                                                                 |          1 |         39 |          3 |          8 |         50 |
| app\api\academic-periods\[id]                                                                    |          1 |         21 |          0 |          5 |         26 |
| app\api\admin                                                                                    |          1 |         43 |          1 |          8 |         52 |
| app\api\admin\modules                                                                            |          1 |         43 |          1 |          8 |         52 |
| app\api\admin\modules\toggle                                                                     |          1 |         43 |          1 |          8 |         52 |
| app\api\auth                                                                                     |          7 |        407 |         40 |         84 |        531 |
| app\api\auth\accept-invite                                                                       |          1 |        101 |          8 |         14 |        123 |
| app\api\auth\activate                                                                            |          1 |         99 |          9 |         20 |        128 |
| app\api\auth\invite                                                                              |          1 |         52 |          5 |         14 |         71 |
| app\api\auth\login                                                                               |          1 |         71 |          6 |         13 |         90 |
| app\api\auth\logout                                                                              |          1 |          6 |          1 |          4 |         11 |
| app\api\auth\register                                                                            |          1 |         40 |          7 |          9 |         56 |
| app\api\auth\setup-password                                                                      |          1 |         38 |          4 |         10 |         52 |
| app\api\courses                                                                                  |          1 |         62 |          1 |          9 |         72 |
| app\api\departments                                                                              |          1 |         62 |          2 |         12 |         76 |
| app\api\exams                                                                                    |          2 |        100 |          8 |         17 |        125 |
| app\api\exams (Files)                                                                            |          1 |         51 |          3 |          9 |         63 |
| app\api\exams\[id]                                                                               |          1 |         49 |          5 |          8 |         62 |
| app\api\exams\[id]\eligible-students                                                             |          1 |         49 |          5 |          8 |         62 |
| app\api\faculty                                                                                  |          1 |        105 |         11 |         22 |        138 |
| app\api\institutions                                                                             |          2 |         93 |          5 |         19 |        117 |
| app\api\institutions\register                                                                    |          1 |         56 |          4 |         11 |         71 |
| app\api\institutions\settings                                                                    |          1 |         37 |          1 |          8 |         46 |
| app\api\modules                                                                                  |          6 |        312 |         21 |         57 |        390 |
| app\api\modules\attendance                                                                       |          3 |        161 |         17 |         27 |        205 |
| app\api\modules\attendance (Files)                                                               |          1 |         29 |          8 |          5 |         42 |
| app\api\modules\attendance\mark                                                                  |          1 |         78 |          6 |         11 |         95 |
| app\api\modules\attendance\report                                                                |          1 |         54 |          3 |         11 |         68 |
| app\api\modules\courses                                                                          |          1 |         54 |          1 |         11 |         66 |
| app\api\modules\departments                                                                      |          1 |         48 |          0 |          9 |         57 |
| app\api\modules\subjects                                                                         |          1 |         49 |          3 |         10 |         62 |
| app\api\students                                                                                 |          2 |        178 |         13 |         28 |        219 |
| app\api\students (Files)                                                                         |          1 |        119 |          8 |         17 |        144 |
| app\api\students\enroll                                                                          |          1 |         59 |          5 |         11 |         75 |
| app\api\subjects                                                                                 |          2 |        200 |         10 |         38 |        248 |
| app\api\subjects (Files)                                                                         |          1 |        133 |          5 |         24 |        162 |
| app\api\subjects\assign                                                                          |          1 |         67 |          5 |         14 |         86 |
| app\api\test                                                                                     |          1 |          5 |          0 |          1 |          6 |
| app\login                                                                                        |          1 |        295 |         11 |         30 |        336 |
| app\register                                                                                     |          1 |        144 |          2 |         20 |        166 |
| app\student                                                                                      |          1 |        217 |          8 |         23 |        248 |
| app\student\activate                                                                             |          1 |        217 |          8 |         23 |        248 |
| components                                                                                       |         30 |      3,040 |         56 |        276 |      3,372 |
| components (Files)                                                                               |          2 |         26 |          0 |          7 |         33 |
| components\admin                                                                                 |          3 |        452 |          5 |         45 |        502 |
| components\admin (Files)                                                                         |          2 |        332 |          3 |         33 |        368 |
| components\admin\modules                                                                         |          1 |        120 |          2 |         12 |        134 |
| components\auth                                                                                  |          3 |        557 |          9 |         53 |        619 |
| components\landing                                                                               |         10 |        970 |         35 |         71 |      1,076 |
| components\layout                                                                                |          4 |        482 |          7 |         41 |        530 |
| components\student                                                                               |          1 |         97 |          0 |          7 |        104 |
| components\ui                                                                                    |          7 |        456 |          0 |         52 |        508 |
| generated                                                                                        |         21 |    109,193 |     10,825 |      5,208 |    125,226 |
| generated\prisma                                                                                 |         21 |    109,193 |     10,825 |      5,208 |    125,226 |
| generated\prisma (Files)                                                                         |         16 |    106,888 |      9,956 |      4,761 |    121,605 |
| generated\prisma\runtime                                                                         |          5 |      2,305 |        869 |        447 |      3,621 |
| lib                                                                                              |         15 |        512 |        103 |         91 |        706 |
| lib (Files)                                                                                      |          8 |        274 |         64 |         52 |        390 |
| lib\db                                                                                           |          1 |         12 |          7 |          7 |         26 |
| lib\modules                                                                                      |          3 |        147 |         26 |         15 |        188 |
| lib\services                                                                                     |          1 |         23 |          4 |          7 |         34 |
| lib\tenant                                                                                       |          1 |         19 |          0 |          4 |         23 |
| lib\utils                                                                                        |          1 |         37 |          2 |          6 |         45 |
| modules                                                                                          |          1 |         12 |          5 |          3 |         20 |
| modules\attendance                                                                               |          1 |         12 |          5 |          3 |         20 |
| prisma                                                                                           |          1 |        295 |          1 |         52 |        348 |
| public                                                                                           |          5 |          5 |          0 |          0 |          5 |
| scripts                                                                                          |          2 |         34 |          5 |         10 |         49 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                         | language                | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\unicore_g\.agents\workflows\accept-student-invite.md                    | Markdown                |         33 |          0 |         11 |         44 |
| c:\Users\mohit\Desktop\I\unicore_g\README.md                                                     | Markdown                |         23 |          0 |         14 |         37 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\[...catchAll]\page.tsx                           | TypeScript JSX          |          4 |          0 |          2 |          6 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\accept-invite\page.tsx                           | TypeScript JSX          |        157 |         16 |         16 |        189 |
