"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -107, 0, 0, -10, -117
"c:\Users\mohit\Desktop\I\unicore_g\eslint.config.mjs", "JavaScript", 0, 0, -14, 0, 0, 0, 0, 0, 0, -2, -3, -19
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.d.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -3, -1, -5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.d.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -3, -1, -5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.d.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.js", "JavaScript", 0, 0, -395, 0, 0, 0, 0, 0, 0, -22, -61, -478
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index-browser.js", "JavaScript", 0, 0, -419, 0, 0, 0, 0, 0, 0, -22, -63, -504
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.d.ts", "TypeScript", 0, -17419, 0, 0, 0, 0, 0, 0, 0, -9877, -2502, -29798
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.js", "JavaScript", 0, 0, -394, 0, 0, 0, 0, 0, 0, -22, -62, -478
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\package.json", "JSON", 0, 0, 0, 0, 0, -144, 0, 0, 0, 0, 0, -144
