"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\layout.tsx", "TypeScript JSX", 68, 0, 0, 2, 9, 79
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\notices\page.tsx", "TypeScript JSX", 79, 0, 0, 0, 9, 88
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\page.tsx", "TypeScript JSX", 5, 0, 0, 1, 3, 9
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\profile\page.tsx", "TypeScript JSX", 146, 0, 0, 3, 12, 161
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\subjects\page.tsx", "TypeScript JSX", 198, 0, 0, 0, 15, 213
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\timetable\page.tsx", "TypeScript JSX", 107, 0, 0, 2, 9, 118
"c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\[id]\route.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\route.ts", "TypeScript", 0, 39, 0, 3, 8, 50
"c:\Users\mohit\Desktop\I\unicore_g\app\api\admin\modules\toggle\route.ts", "TypeScript", 0, 52, 0, 2, 9, 63
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\accept-invite\route.ts", "TypeScript", 0, 101, 0, 8, 14, 123
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\activate\route.ts", "TypeScript", 0, 99, 0, 8, 20, 127
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\forgot-password\route.ts", "TypeScript", 0, 47, 0, 7, 9, 63
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\invite\route.ts", "TypeScript", 0, 52, 0, 4, 14, 70
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\login\route.ts", "TypeScript", 0, 72, 0, 6, 13, 91
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\logout\route.ts", "TypeScript", 0, 6, 0, 1, 4, 11
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\register\route.ts", "TypeScript", 0, 40, 0, 7, 9, 56
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\reset-password\route.ts", "TypeScript", 0, 41, 0, 5, 10, 56
"c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\setup-password\route.ts", "TypeScript", 0, 38, 0, 3, 10, 51
"c:\Users\mohit\Desktop\I\unicore_g\app\api\faculty\route.ts", "TypeScript", 0, 109, 0, 11, 25, 145
"c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\register\route.ts", "TypeScript", 0, 56, 0, 4, 11, 71
"c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\settings\route.ts", "TypeScript", 0, 37, 0, 1, 8, 46
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\mark\route.ts", "TypeScript", 0, 121, 0, 12, 20, 153
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\report\route.ts", "TypeScript", 0, 54, 0, 3, 11, 68
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\route.ts", "TypeScript", 0, 29, 0, 8, 5, 42
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\courses\route.ts", "TypeScript", 0, 84, 0, 1, 14, 99
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\departments\route.ts", "TypeScript", 0, 64, 0, 0, 12, 76
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\exams\route.ts", "TypeScript", 0, 58, 0, 9, 10, 77
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\notices\route.ts", "TypeScript", 0, 110, 0, 18, 23, 151
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\students\enroll\route.ts", "TypeScript", 0, 34, 0, 6, 8, 48
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\students\route.ts", "TypeScript", 0, 136, 0, 14, 21, 171
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\subjects\assign\route.ts", "TypeScript", 0, 74, 0, 9, 16, 99
"c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\subjects\route.ts", "TypeScript", 0, 164, 0, 5, 30, 199
"c:\Users\mohit\Desktop\I\unicore_g\app\api\test\route.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\mohit\Desktop\I\unicore_g\app\globals.css", "PostCSS", 0, 0, 270, 4, 34, 308
"c:\Users\mohit\Desktop\I\unicore_g\app\layout.tsx", "TypeScript JSX", 40, 0, 0, 0, 8, 48
"c:\Users\mohit\Desktop\I\unicore_g\app\login\page.tsx", "TypeScript JSX", 295, 0, 0, 11, 30, 336
"c:\Users\mohit\Desktop\I\unicore_g\app\not-found.tsx", "TypeScript JSX", 67, 0, 0, 41, 13, 121
"c:\Users\mohit\Desktop\I\unicore_g\app\page.tsx", "TypeScript JSX", 28, 0, 0, 0, 2, 30
"c:\Users\mohit\Desktop\I\unicore_g\app\register\page.tsx", "TypeScript JSX", 144, 0, 0, 2, 20, 166
"c:\Users\mohit\Desktop\I\unicore_g\app\student\activate\page.tsx", "TypeScript JSX", 225, 0, 0, 8, 25, 258
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\CSVUpload.tsx", "TypeScript JSX", -221, 0, 0, -2, -17, -240
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\InviteUser.tsx", "TypeScript JSX", -111, 0, 0, -1, -16, -128
"c:\Users\mohit\Desktop\I\unicore_g\components\admin\modules\ModuleManager.tsx", "TypeScript JSX", -120, 0, 0, -2, -12, -134
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\AcceptInviteForm.tsx", "TypeScript JSX", -231, 0, 0, 0, -22, -253
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\LogoutButton.tsx", "TypeScript JSX", -45, 0, 0, 0, -7, -52
"c:\Users\mohit\Desktop\I\unicore_g\components\auth\StudentLoginForm.tsx", "TypeScript JSX", -281, 0, 0, -9, -24, -314
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\CTA.tsx", "TypeScript JSX", -42, 0, 0, -2, -7, -51
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Features.tsx", "TypeScript JSX", -108, 0, 0, -2, -4, -114
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Footer.tsx", "TypeScript JSX", -95, 0, 0, -3, -7, -105
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Hero.tsx", "TypeScript JSX", -129, 0, 0, -11, -12, -152
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\HowItWorks.tsx", "TypeScript JSX", -79, 0, 0, -4, -5, -88
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Modules.tsx", "TypeScript JSX", -118, 0, 0, -1, -6, -125
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Navbar.tsx", "TypeScript JSX", -152, 0, 0, -10, -14, -176
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Pricing.tsx", "TypeScript JSX", -136, 0, 0, -1, -8, -145
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Stats.tsx", "TypeScript JSX", -32, 0, 0, 0, -2, -34
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Testimonials.tsx", "TypeScript JSX", -79, 0, 0, -1, -6, -86
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\forbidden.tsx", "TypeScript JSX", -60, 0, 0, -1, -8, -69
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar-context.tsx", "TypeScript JSX", -29, 0, 0, -1, -9, -39
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar.tsx", "TypeScript JSX", -335, 0, 0, -1, -15, -351
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\topbar.tsx", "TypeScript JSX", -58, 0, 0, -4, -9, -71
"c:\Users\mohit\Desktop\I\unicore_g\components\student\attendance-chart.tsx", "TypeScript JSX", -97, 0, 0, 0, -7, -104
"c:\Users\mohit\Desktop\I\unicore_g\components\theme-provider.tsx", "TypeScript JSX", -9, 0, 0, 0, -3, -12
"c:\Users\mohit\Desktop\I\unicore_g\components\theme-toggle.tsx", "TypeScript JSX", -17, 0, 0, 0, -4, -21
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\badge.tsx", "TypeScript JSX", -35, 0, 0, 0, -5, -40
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\button.tsx", "TypeScript JSX", -51, 0, 0, 0, -5, -56
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\card.tsx", "TypeScript JSX", -71, 0, 0, 0, -8, -79
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\input.tsx", "TypeScript JSX", -21, 0, 0, 0, -4, -25
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\select.tsx", "TypeScript JSX", -146, 0, 0, 0, -15, -161
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\switch.tsx", "TypeScript JSX", -25, 0, 0, 0, -5, -30
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\table.tsx", "TypeScript JSX", -107, 0, 0, 0, -10, -117
"Total", "-", 3511, 1743, 270, 305, 768, 6597
