Date : 2026-03-30 01:39:14
Directory : c:\Users\mohit\Desktop\I\unicore_g\app
Total : 82 files,  8564 codes, 361 comments, 1044 blanks, all 9969 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         54 |      6,551 |        202 |        670 |      7,423 |
| TypeScript     |         27 |      1,743 |        155 |        340 |      2,238 |
| PostCSS        |          1 |        270 |          4 |         34 |        308 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| api\modules\students\enroll                                                                      |          1 |         34 |          6 |          8 |         48 |
| api\modules\subjects                                                                             |          2 |        238 |         14 |         46 |        298 |
| api\modules\subjects (Files)                                                                     |          1 |        164 |          5 |         30 |        199 |
| api\modules\subjects\assign                                                                      |          1 |         74 |          9 |         16 |         99 |
| api\test                                                                                         |          1 |          5 |          0 |          1 |          6 |
| login                                                                                            |          1 |        295 |         11 |         30 |        336 |
| register                                                                                         |          1 |        144 |          2 |         20 |        166 |
| student                                                                                          |          1 |        225 |          8 |         25 |        258 |
| student\activate                                                                                 |          1 |        225 |          8 |         25 |        258 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                         | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\[...catchAll]\page.tsx                           | TypeScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\accept-invite\page.tsx                           | TypeScript JSX |        157 |         16 |         16 |        189 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\AcademicPeriodManager.tsx | TypeScript JSX |        189 |          1 |         14 |        204 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\page.tsx                  | TypeScript JSX |         45 |          1 |          7 |         53 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\CourseManager.tsx                  | TypeScript JSX |        228 |          3 |         16 |        247 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\page.tsx                           | TypeScript JSX |         34 |          3 |          8 |         45 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\dashboard\page.tsx                         | TypeScript JSX |         67 |          2 |         11 |         80 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\DepartmentManager.tsx          | TypeScript JSX |        217 |          3 |         15 |        235 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\page.tsx                       | TypeScript JSX |         28 |          2 |          7 |         37 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\ExamManager.tsx                      | TypeScript JSX |        231 |          1 |         13 |        245 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\page.tsx                             | TypeScript JSX |         48 |          0 |          7 |         55 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\FacultyManager.tsx                 | TypeScript JSX |        375 |          3 |         22 |        400 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\page.tsx                           | TypeScript JSX |         29 |          2 |          7 |         38 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\layout.tsx                                 | TypeScript JSX |         68 |          5 |         10 |         83 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\notices\NoticeForm.tsx                     | TypeScript JSX |        104 |          0 |         14 |        118 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\notices\NoticesClient.tsx                  | TypeScript JSX |         81 |          0 |          7 |         88 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\notices\[id]\edit\page.tsx                 | TypeScript JSX |         20 |          0 |          7 |         27 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\notices\create\page.tsx                    | TypeScript JSX |          9 |          0 |          3 |         12 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\notices\page.tsx                           | TypeScript JSX |         39 |          0 |          7 |         46 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\InstitutionSettingsManager.tsx    | TypeScript JSX |        128 |          0 |         16 |        144 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\page.tsx                          | TypeScript JSX |         41 |          1 |          8 |         50 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\StudentManager.tsx                | TypeScript JSX |        429 |         12 |         25 |        466 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\page.tsx                          | TypeScript JSX |         34 |          2 |          8 |         44 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\SubjectManager.tsx                | TypeScript JSX |        608 |         12 |         31 |        651 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\page.tsx                          | TypeScript JSX |         53 |          4 |          9 |         66 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\error.tsx                                        | TypeScript JSX |         71 |          2 |          9 |         82 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\AttendanceManager.tsx         | TypeScript JSX |        332 |          6 |         26 |        364 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\page.tsx                      | TypeScript JSX |         97 |          5 |         15 |        117 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\dashboard\page.tsx                       | TypeScript JSX |        110 |          2 |         16 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\layout.tsx                               | TypeScript JSX |         68 |          5 |          9 |         82 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\profile\page.tsx                         | TypeScript JSX |        117 |          0 |         11 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\subjects\page.tsx                        | TypeScript JSX |        100 |          1 |         12 |        113 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\forgot-password\page.tsx                         | TypeScript JSX |        120 |          1 |         14 |        135 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\layout.tsx                                       | TypeScript JSX |         40 |          7 |         10 |         57 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\login\page.tsx                                   | TypeScript JSX |         21 |         11 |          6 |         38 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\page.tsx                                         | TypeScript JSX |          8 |          1 |          4 |         13 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\reset-password\page.tsx                          | TypeScript JSX |        165 |          1 |         20 |        186 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\setup-password\page.tsx                          | TypeScript JSX |        199 |          0 |         22 |        221 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\activate\page.tsx                        | TypeScript JSX |         15 |          1 |          4 |         20 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\attendance\page.tsx                      | TypeScript JSX |         96 |          4 |         15 |        115 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\dashboard\page.tsx                       | TypeScript JSX |        288 |         12 |         25 |        325 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\fees\page.tsx                            | TypeScript JSX |         36 |          0 |          7 |         43 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\layout.tsx                               | TypeScript JSX |         68 |          2 |          9 |         79 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\notices\page.tsx                         | TypeScript JSX |         79 |          0 |          9 |         88 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\page.tsx                                 | TypeScript JSX |          5 |          1 |          3 |          9 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\profile\page.tsx                         | TypeScript JSX |        146 |          3 |         12 |        161 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\subjects\page.tsx                        | TypeScript JSX |        198 |          0 |         15 |        213 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\timetable\page.tsx                       | TypeScript JSX |        107 |          2 |          9 |        118 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\[id]\route.ts                        | TypeScript     |         21 |          0 |          5 |         26 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\route.ts                             | TypeScript     |         39 |          3 |          8 |         50 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\admin\modules\toggle\route.ts                         | TypeScript     |         52 |          2 |          9 |         63 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\accept-invite\route.ts                           | TypeScript     |        101 |          8 |         14 |        123 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\activate\route.ts                                | TypeScript     |         99 |          8 |         20 |        127 |
